requirement_id,scenario_id,status,run_id
A-02,T-05,pass,LFL-T05-PX4-20260921T095622Z-00F1
A-03,T-05,pass,LFL-T05-PX4-20260921T095622Z-00F1
A-08,T-05,pass,LFL-T05-PX4-20260921T095622Z-00F1
