requirement_id,scenario_id,status,run_id
A-02,T-05,pass,LFL-T05-PX4-20260922T121017Z-B4A3
A-03,T-05,pass,LFL-T05-PX4-20260922T121017Z-B4A3
A-08,T-05,pass,LFL-T05-PX4-20260922T121017Z-B4A3
M-06,T-05,pass,LFL-T05-PX4-20260922T121017Z-B4A3
