sim_time_s,mission_state,assurance_state,action,link,navigation_confidence,energy_margin_wh,decision_code
12.0,OUTBOUND,NOMINAL,NONE,True,0.9,28.2,NOMINAL
12.5,OUTBOUND,NOMINAL,NONE,True,0.9,28.125,NOMINAL
13.0,OUTBOUND,NOMINAL,NONE,True,0.9,28.05,NOMINAL
13.5,OUTBOUND,NOMINAL,NONE,True,0.9,27.975,NOMINAL
14.0,OUTBOUND,NOMINAL,NONE,True,0.9,27.9,NOMINAL
14.5,OUTBOUND,NOMINAL,NONE,True,0.9,27.825,NOMINAL
15.0,OUTBOUND,NOMINAL,NONE,True,0.9,27.75,NOMINAL
15.5,OUTBOUND,NOMINAL,NONE,True,0.9,27.675,NOMINAL
16.0,OUTBOUND,NOMINAL,NONE,True,0.9,27.6,NOMINAL
16.5,OUTBOUND,NOMINAL,NONE,True,0.9,27.525,NOMINAL
17.0,OUTBOUND,NOMINAL,NONE,True,0.9,27.45,NOMINAL
17.5,OUTBOUND,NOMINAL,NONE,True,0.9,27.375,NOMINAL
18.0,OUTBOUND,NOMINAL,NONE,True,0.9,27.3,NOMINAL
18.5,OUTBOUND,NOMINAL,NONE,True,0.9,27.225,NOMINAL
19.0,OUTBOUND,NOMINAL,NONE,True,0.9,27.15,NOMINAL
19.5,OUTBOUND,NOMINAL,NONE,True,0.9,27.075,NOMINAL
20.0,OUTBOUND,WATCH,NONE,False,0.9,27.0,LINK_LOSS_DWELL
20.5,OUTBOUND,WATCH,NONE,False,0.9,26.925,LINK_LOSS_DWELL
21.0,OUTBOUND,WATCH,NONE,False,0.9,26.85,LINK_LOSS_DWELL
21.5,OUTBOUND,WATCH,NONE,False,0.9,26.775,LINK_LOSS_DWELL
22.0,OUTBOUND,WATCH,NONE,False,0.9,26.7,LINK_LOSS_DWELL
22.5,OUTBOUND,WATCH,NONE,False,0.9,26.625,LINK_LOSS_DWELL
23.0,OUTBOUND,DEGRADED,CONTINUE,False,0.9,26.55,LINK_LOSS_CONTINUE_OUTBOUND
23.5,OUTBOUND,DEGRADED,CONTINUE,False,0.9,26.475,LINK_LOSS_CONTINUE_OUTBOUND
24.0,OUTBOUND,DEGRADED,CONTINUE,False,0.9,26.4,LINK_LOSS_CONTINUE_OUTBOUND
24.5,OUTBOUND,DEGRADED,CONTINUE,False,0.9,26.325,LINK_LOSS_CONTINUE_OUTBOUND
25.0,OUTBOUND,DEGRADED,CONTINUE,False,0.9,26.25,LINK_LOSS_CONTINUE_OUTBOUND
25.5,OUTBOUND,DEGRADED,CONTINUE,False,0.9,26.175,LINK_LOSS_CONTINUE_OUTBOUND
26.0,OUTBOUND,DEGRADED,CONTINUE,False,0.9,26.1,LINK_LOSS_CONTINUE_OUTBOUND
26.5,OUTBOUND,DEGRADED,CONTINUE,False,0.9,26.025,LINK_LOSS_CONTINUE_OUTBOUND
27.0,OUTBOUND,DEGRADED,CONTINUE,False,0.9,25.95,LINK_LOSS_CONTINUE_OUTBOUND
27.5,OUTBOUND,DEGRADED,CONTINUE,False,0.9,25.875,LINK_LOSS_CONTINUE_OUTBOUND
28.0,OUTBOUND,DEGRADED,CONTINUE,False,0.9,25.8,LINK_LOSS_CONTINUE_OUTBOUND
28.5,OUTBOUND,DEGRADED,CONTINUE,False,0.9,25.725,LINK_LOSS_CONTINUE_OUTBOUND
29.0,OUTBOUND,DEGRADED,CONTINUE,False,0.9,25.65,LINK_LOSS_CONTINUE_OUTBOUND
29.5,OUTBOUND,DEGRADED,CONTINUE,False,0.9,25.575,LINK_LOSS_CONTINUE_OUTBOUND
30.0,OUTBOUND,DEGRADED,CONTINUE,False,0.9,25.5,LINK_LOSS_CONTINUE_OUTBOUND
30.5,OUTBOUND,DEGRADED,CONTINUE,False,0.9,25.425,LINK_LOSS_CONTINUE_OUTBOUND
31.0,OUTBOUND,DEGRADED,CONTINUE,False,0.9,25.35,LINK_LOSS_CONTINUE_OUTBOUND
31.5,OUTBOUND,DEGRADED,CONTINUE,False,0.9,25.275,LINK_LOSS_CONTINUE_OUTBOUND
32.0,OUTBOUND,DEGRADED,CONTINUE,False,0.9,25.2,LINK_LOSS_CONTINUE_OUTBOUND
32.5,OUTBOUND,DEGRADED,CONTINUE,False,0.9,25.125,LINK_LOSS_CONTINUE_OUTBOUND
33.0,OUTBOUND,DEGRADED,CONTINUE,False,0.9,25.05,LINK_LOSS_CONTINUE_OUTBOUND
33.5,OUTBOUND,DEGRADED,CONTINUE,False,0.9,24.975,LINK_LOSS_CONTINUE_OUTBOUND
34.0,OUTBOUND,DEGRADED,CONTINUE,False,0.9,24.9,LINK_LOSS_CONTINUE_OUTBOUND
34.5,OUTBOUND,DEGRADED,CONTINUE,False,0.9,24.825,LINK_LOSS_CONTINUE_OUTBOUND
35.0,OUTBOUND,DEGRADED,CONTINUE,False,0.9,24.75,LINK_LOSS_CONTINUE_OUTBOUND
35.5,OUTBOUND,DEGRADED,CONTINUE,False,0.9,24.675,LINK_LOSS_CONTINUE_OUTBOUND
36.0,OUTBOUND,DEGRADED,CONTINUE,False,0.9,24.6,LINK_LOSS_CONTINUE_OUTBOUND
36.5,OUTBOUND,DEGRADED,CONTINUE,False,0.9,24.525,LINK_LOSS_CONTINUE_OUTBOUND
37.0,OUTBOUND,DEGRADED,CONTINUE,False,0.9,24.45,LINK_LOSS_CONTINUE_OUTBOUND
37.5,OUTBOUND,DEGRADED,CONTINUE,False,0.9,24.375,LINK_LOSS_CONTINUE_OUTBOUND
38.0,OUTBOUND,DEGRADED,CONTINUE,False,0.9,24.3,LINK_LOSS_CONTINUE_OUTBOUND
38.5,OUTBOUND,DEGRADED,CONTINUE,False,0.9,24.225,LINK_LOSS_CONTINUE_OUTBOUND
39.0,OUTBOUND,DEGRADED,CONTINUE,False,0.9,24.15,LINK_LOSS_CONTINUE_OUTBOUND
39.5,OUTBOUND,DEGRADED,CONTINUE,False,0.9,24.075,LINK_LOSS_CONTINUE_OUTBOUND
40.0,OUTBOUND,DEGRADED,CONTINUE,False,0.9,24.0,LINK_LOSS_CONTINUE_OUTBOUND
40.5,OUTBOUND,DEGRADED,CONTINUE,False,0.9,23.925,LINK_LOSS_CONTINUE_OUTBOUND
41.0,OUTBOUND,DEGRADED,CONTINUE,False,0.9,23.85,LINK_LOSS_CONTINUE_OUTBOUND
41.5,OUTBOUND,DEGRADED,CONTINUE,False,0.9,23.775,LINK_LOSS_CONTINUE_OUTBOUND
42.0,DELIVERY,RECOVER,RETURN,False,0.9,23.7,LINK_LOSS_RETURN_AFTER_DELIVERY
42.5,RETURNING,RECOVER,RETURN,False,0.9,23.625,LINK_LOSS_RETURN_AFTER_DELIVERY
43.0,RETURNING,RECOVER,RETURN,False,0.9,23.55,LINK_LOSS_RETURN_AFTER_DELIVERY
43.5,RETURNING,RECOVER,RETURN,False,0.9,23.475,LINK_LOSS_RETURN_AFTER_DELIVERY
44.0,RETURNING,RECOVER,RETURN,False,0.9,23.4,LINK_LOSS_RETURN_AFTER_DELIVERY
44.5,RETURNING,RECOVER,RETURN,False,0.9,23.325,LINK_LOSS_RETURN_AFTER_DELIVERY
45.0,RETURNING,RECOVER,RETURN,False,0.9,23.25,LINK_LOSS_RETURN_AFTER_DELIVERY
45.5,RETURNING,RECOVER,RETURN,False,0.9,23.175,LINK_LOSS_RETURN_AFTER_DELIVERY
46.0,RETURNING,RECOVER,RETURN,False,0.9,23.1,LINK_LOSS_RETURN_AFTER_DELIVERY
46.5,RETURNING,RECOVER,RETURN,False,0.9,23.025,LINK_LOSS_RETURN_AFTER_DELIVERY
47.0,RETURNING,RECOVER,RETURN,False,0.9,22.95,LINK_LOSS_RETURN_AFTER_DELIVERY
47.5,RETURNING,RECOVER,RETURN,False,0.9,22.875,LINK_LOSS_RETURN_AFTER_DELIVERY
48.0,RETURNING,RECOVER,RETURN,False,0.9,22.8,LINK_LOSS_RETURN_AFTER_DELIVERY
48.5,RETURNING,RECOVER,RETURN,False,0.9,22.725,LINK_LOSS_RETURN_AFTER_DELIVERY
49.0,RETURNING,RECOVER,RETURN,False,0.9,22.65,LINK_LOSS_RETURN_AFTER_DELIVERY
49.5,RETURNING,RECOVER,RETURN,False,0.9,22.575,LINK_LOSS_RETURN_AFTER_DELIVERY
50.0,RETURNING,RECOVER,RETURN,False,0.9,22.5,LINK_LOSS_RETURN_AFTER_DELIVERY
50.5,RETURNING,RECOVER,RETURN,False,0.9,22.425,LINK_LOSS_RETURN_AFTER_DELIVERY
