sim_time_s,mission_state,assurance_state,action,link,navigation_confidence,energy_margin_wh,decision_code,package_custody,receipt_status,delivery_outcome,timeliness
21.077,OUTBOUND,WATCH,NONE,False,0.9,60.0,LINK_LOSS_DWELL,AIRCRAFT,PENDING,PENDING,PENDING
21.581,OUTBOUND,WATCH,NONE,False,0.9,60.0,LINK_LOSS_DWELL,AIRCRAFT,PENDING,PENDING,PENDING
22.082,OUTBOUND,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,NAVIGATION_INVALID,AIRCRAFT,PENDING,PENDING,PENDING
22.606,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
23.108,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
23.608,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
24.111,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
24.612,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
25.115,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
25.616,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
26.118,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
26.619,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
27.119,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
27.62,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
28.121,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
28.622,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
29.123,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
29.624,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
30.125,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
30.628,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
31.13,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
31.631,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
32.136,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
32.636,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
33.138,LANDING,TERMINATE,CONTROLLED_LAND,False,0.25,60.0,TERMINAL_LATCHED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
