requirement_id,scenario_id,status,run_id
OD-05,T-12,pass,DISPLAY-T12
EV-02,T-12,pass,DISPLAY-T12
EV-03,T-12,pass,DISPLAY-T12
EV-04,T-12,pass,DISPLAY-T12
