requirement_id,scenario_id,status,run_id
M-01,T-01,pass,LFL-T01-PX4-20260921T094403Z-1CE3
M-02,T-01,pass,LFL-T01-PX4-20260921T094403Z-1CE3
M-03,T-01,pass,LFL-T01-PX4-20260921T094403Z-1CE3
