sim_time_s,mission_state,assurance_state,action,link,navigation_confidence,energy_margin_wh,decision_code,package_custody,receipt_status,delivery_outcome,timeliness
14.0,OUTBOUND,NOMINAL,NONE,True,0.9,27.9,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
14.5,OUTBOUND,NOMINAL,NONE,True,0.9,27.825,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
15.0,OUTBOUND,NOMINAL,NONE,True,0.9,27.75,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
15.5,OUTBOUND,NOMINAL,NONE,True,0.9,27.675,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
16.0,OUTBOUND,NOMINAL,NONE,True,0.9,27.6,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
16.5,OUTBOUND,NOMINAL,NONE,True,0.9,27.525,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
17.0,OUTBOUND,NOMINAL,NONE,True,0.9,27.45,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
17.5,OUTBOUND,NOMINAL,NONE,True,0.9,27.375,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
18.0,OUTBOUND,NOMINAL,NONE,True,0.9,27.3,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
18.5,OUTBOUND,NOMINAL,NONE,True,0.9,27.225,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
19.0,OUTBOUND,NOMINAL,NONE,True,0.9,27.15,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
19.5,OUTBOUND,NOMINAL,NONE,True,0.9,27.075,NOMINAL,AIRCRAFT,PENDING,PENDING,PENDING
20.0,OUTBOUND,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
20.5,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
21.0,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
21.5,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
22.0,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
22.5,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
23.0,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
23.5,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
24.0,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
24.5,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
25.0,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
25.5,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
26.0,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
26.5,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
27.0,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
27.5,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
28.0,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
28.5,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
29.0,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
29.5,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
30.0,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
30.5,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
31.0,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
31.5,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
32.0,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
32.5,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
33.0,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
33.5,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
34.0,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
34.5,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
35.0,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
35.5,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
36.0,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
36.5,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
37.0,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
37.5,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
38.0,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
38.5,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
39.0,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
39.5,RETURNING,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,PENDING,PENDING
40.0,RECOVERED,RECOVER,RETURN,True,0.9,4.0,ENERGY_RECOVERY_REQUIRED,AIRCRAFT,PENDING,NOT_COMPLETED,UNKNOWN
